Dışa Aktarım Tarihi:,09.06.2026 11:42:42
Toplam Kayıt Sayısı:,20086

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
DHV,DENİZ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"2,478149",119200010.00,11,"295395367,67"
DID,DENİZ PORTFÖY İKİNCİ DEĞİŞKEN FON,22.05.2026,"1,348732",24216318.00,167,"32661313,02"
DIH,DENİZ PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"1,536593",76257782.00,11,"117177136,99"
DIM,DENİZ PORTFÖY İMRAL SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"47,741205",2287508.00,1,"109208389,33"
DIP,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,22.05.2026,"1,428587",35293324171.00,1432,"50419578138,72"
DK1,KUVEYT TÜRK PORTFÖY DÜNYA KATILIM BANKASI KISA VADELİ KATILIM SERBEST FON,22.05.2026,"1,353048",3092281150.00,69,"4184005744,81"
DK8,DENİZ PORTFÖY KAR PAYI ÖDEYEN SEKİZİNCİ SERBEST (DÖVİZ) FON,22.05.2026,"45,636486",38712987.00,307,"1766724690,94"
DKA,DENİZ PORTFÖY KAR PAYI ÖDEYEN DOKUZUNCU SERBEST (DÖVİZ) FON,22.05.2026,"45,611117",50978831.00,239,"2325201422,84"
DKC,DENİZ PORTFÖY İKİNCİ SERBEST FON,22.05.2026,"0,594177",313506.00,13,"186278,03"
DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),22.05.2026,"3,539183",64458059.00,1580,"228128865,47"
DKL,DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,22.05.2026,"47,713276",8723273.00,114,"416215930,76"
DKP,QNB PORTFÖY KAR PAYI ÖDEYEN DOKUZUNCU SERBEST (DÖVİZ) FON,22.05.2026,"45,658878",87720000.00,644,"4005196779,79"
DKR,DENİZ PORTFÖY ONDÖRDÜNCÜ SERBEST FON,22.05.2026,"0,666577",49219522.00,450,"32808606,46"
DKS,DENİZ PORTFÖY KUZEYYILDIZI SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"67,711974",3207930.00,2,"217215272,55"
DKY,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONÜÇÜNCÜ SERBEST (DÖVİZ) FON,22.05.2026,"45,657669",56772534.00,230,"2592101546,33"
DL2,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,22.05.2026,"2,248983",4313233770.00,694,"9700387364,71"
DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),22.05.2026,"6,760245",10495500.00,616,"70952153,39"
DLG,DENİZ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,22.05.2026,"1,177876",4148102.00,45,"4885949,58"
DLN,AURA PORTFÖY DOLUNAY SERBEST FON,22.05.2026,"1,921868",720586298.00,26,"1384871702,98"
DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,22.05.2026,"5,519134",13438685582.00,312128,"74169900900,74"
DLZ,DENİZ PORTFÖY ALİZE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"0,867748",123422.00,13,"107099,16"
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,22.05.2026,"7,506409",475291927.00,16075,"3567735765,90"
DMR,ZİRAAT PORTFÖY DEMİRAY SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"55,274615",296469134.00,1,"16387217235,03"
DMV,DENİZ PORTFÖY SMART SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"65,857777",4806366.00,2,"316536579,29"
DMZ,DENİZ PORTFÖY ZEYTİN SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"60,550333",9999890.00,5,"605496664,88"
DNA,DENİZ PORTFÖY ANATOLİA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"9,243331",199023445.00,5,"1839639515,69"
DNF,A1 CAPİTAL PORTFÖY DİNAMİK FON SEPETİ FONU,22.05.2026,"1,184093",21162487.00,112,"25058362,10"
DNH,DENİZ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"1,098137",17447495.00,77,"19159746,66"
DNK,TACİRLER PORTFÖY DENGE KATILIM SERBEST FON,22.05.2026,"1,694534",9698941.00,202,"16435186,59"
