Dışa Aktarım Tarihi:,03.05.2026 16:38:21
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
DZS,AK PORTFÖY DOKUZUNCU SERBEST FON,30.04.2026,"1,402701",44174865.00,157,"61964127,68"
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"0,229481",204183421.00,390,"46856232,73"
EBI,EMAA BLUE PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"53,002722",10977926.00,30,"581859962,35"
EBS,EMAA BLUE PORTFÖY BİRİNCİ SERBEST (DÖVİZ-ABD DOLARI) FON,30.04.2026,"45,515167",74284934.00,32,"3381091147,94"
EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),30.04.2026,"87,110313",1022274.80,2571,"89050678,13"
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"1,704907",94445065.00,394,"161020012,38"
ECB,GLOBAL MD PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"47,476161",18367489.00,3232,"872017861,02"
ECV,GLOBAL MD PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,436752",219392886.18,2395,"95820305,53"
EDD,QNB PORTFÖY ENPARA DENGELİ DEĞİŞKEN ÖZEL FON,30.04.2026,"1,047765",10081806.00,13,"10563364,61"
EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,30.04.2026,"1,030656",50934285.00,30,"52495718,16"
EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,30.04.2026,"2,002821",470484593.00,628,"942296574,34"
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,30.04.2026,"3,289973",133646848.00,660,"439694580,51"
