Dışa Aktarım Tarihi:,19.06.2026 11:49:06
Toplam Kayıt Sayısı:,2020

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,19.06.2026,"2,137878",11458704.00,643,"24497308,50"
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,19.06.2026,"1,490335",775605505.00,772,"1155912285,60"
BCC,ASTRA PORTFÖY BCC SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"70,220939",41727888.00,3,"2930171460,73"
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,19.06.2026,"2,087122",77377933.00,2567,"161497221,48"
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,19.06.2026,"1,697986",20754307.00,406,"35240524,11"
BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,19.06.2026,"54,01193",58038916.00,566,"3134793875,88"
BDC,AURA PORTFÖY BODRUM SERBEST FON,19.06.2026,"9,074517",42168740.00,36,"382660935,75"
BDI,PARDUS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,081117",682615467.00,74,"55371559,38"
BDO,BULLS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"3,290657",1678298973.00,11,"5522706189,51"
BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"2,291167",157015158.00,9931,"359747995,89"
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,685833",60300456.00,2390,"101656481,59"
BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,19.06.2026,"1,775131",5248825.00,56,"9317353,11"
BFO,İŞ PORTFÖY BFO1 SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"51,529641",203562943.00,1,"10489525372,71"
BFS,BULLS PORTFÖY EMTİA FON SEPETİ FONU,19.06.2026,"0,954032",13509363.00,89,"12888366,30"
BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,270977",201621289.00,560,"256256000,78"
BGH,AZİMUT PORTFÖY BGN HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"2,355278",470029440.00,1,"1107049817,07"
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,19.06.2026,"6,106151",9778789159.00,29848,"59710763605,80"
BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,646288",45248903.00,737,"74492729,14"
BHE,AK PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,878145",20149848.00,72,"37844327,51"
BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,19.06.2026,"3,169974",83449494.00,2114,"264532724,16"
BHH,PARDUS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,192005",1324755433.00,74,"254360256,32"
BHI,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"2,216187",603342974.00,397,"1337121078,96"
BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,329639",56507412.00,893,"75134479,04"
BHN,A1 CAPİTAL PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"2,00565",353893370.00,42,"709786280,41"
BHO,AZİMUT PORTFÖY BİRİNCİ PY HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,17413",1224797601.00,1,"1438071211,47"
BI5,BULLS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,535241",387605765.00,12,"595068410,20"
BIA,TRİVE PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,210065",2560193.00,12,"537805,76"
BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"3,402677",78700937.00,2143,"267793866,77"
BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,448378",400603745.00,3560,"580225718,42"
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"7,71382",99727382.00,529,"769279072,64"
BIK,BULLS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,303061",2323018343.00,14,"3027033881,66"
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"2,514711",452041645.00,11264,"1136753972,85"
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,19.06.2026,"1,529221",3701971503.00,201,"5661131115,68"
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,19.06.2026,"1,686298",447016110.00,65,"753802550,81"
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,338574",60408465.00,289,"80861223,31"
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,19.06.2026,"51,205952",19838974.00,101,"1015873552,34"
BKO,AZİMUT PORTFÖY BİRİNCİ KATILIM SERBEST ÖZEL FON,19.06.2026,"1,198142",3822315361.00,1,"4579676191,78"
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,19.06.2026,"47,716242",83372917.00,719,"3978242254,05"
BLA,BULLS PORTFÖY ALGORİTMİK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"6,591627",935298004.00,15,"6165135772,16"
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,19.06.2026,"1,559859",336082544.00,777,"524241363,60"
BLT,BULLS PORTFÖY ALTIN FONU,19.06.2026,"1,67166",191770059.00,2690,"320574393,86"
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"2,879217",831350044.00,25,"2393636860,24"
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,19.06.2026,"2,088499",335130917.00,248,"699920687,18"
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,389644",60109073.00,196,"83530184,69"
BOH,BULLS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,942747",250569682.00,11,"236223897,55"
