Dışa Aktarım Tarihi:,03.05.2026 16:27:32
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat
FJM,FİBA PORTFÖY MELTEM SERBEST (DÖVİZ) FON,30.04.2026,"53,732641"
FJN,FİBA PORTFÖY MELTEM İKİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"53,537799"
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,30.04.2026,"61,572761"
FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"55,923994"
FKH,QNB PORTFÖY KAR PAYI ÖDEYEN İKİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"45,605532"
FKV,QNB PORTFÖY KAR PAYI ÖDEYEN YEDİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"45,225245"
FLS,YAPI KREDİ PORTFÖY FLORYA SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"57,440171"
FLY,AKTİF PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"1,584801"
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,30.04.2026,"3,571714"
FMS,QNB PORTFÖY SABİHA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"53,62272"
FMV,DENİZ PORTFÖY FMV IŞIK ÜNİVERSİTESİ EĞİTİME DESTEK SERBEST FON,30.04.2026,"1,262436"
FNE,AZİMUT PORTFÖY FİNE AGRO SERBEST (TL) ÖZEL FON,30.04.2026,"2,734677"
FNN,QNB PORTFÖY KAR PAYI ÖDEYEN ONUNCU SERBEST (DÖVİZ) FON,30.04.2026,"0,00"
FNO,QNB PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"0,188868"
FNT,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,994976"
FP4,ONE PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,235816"
FPE,FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,30.04.2026,"70,729886"
FPG,FİBA PORTFÖY GÜMÜŞ SERBEST FON,30.04.2026,"2,318305"
FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"33,648161"
FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"2,348453"
FPK,FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,087784"
FPR,STRATEJİ PORTFÖY FOREST HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"11,078766"
FPZ,QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"64,284969"
FR1,ONE PORTFÖY BİRİNCİ SERBEST FON,30.04.2026,"1,328736"
FRA,AZIMUT PORTFÖY MAB SERBEST ÖZEL FON,30.04.2026,"32,089908"
FRC,FONMAP PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,841511"
FRZ,AZİMUT PORTFÖY FRZ SERBEST ÖZEL FON,30.04.2026,"15,21711"
FS1,ONE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,777714"
FS2,ONE PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,048996"
FS3,ONE PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,813904"
FS4,ONE PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,900051"
FS5,ONE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,529781"
FS6,ONE PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"1,567279"
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,30.04.2026,"6,126126"
FSG,FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,701697"
FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,30.04.2026,"4,118281"
FSK,QNB PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"5,43078"
FSM,ONE PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"9,042191"
FSP,FONMAP PORTFÖY SERBEST (DÖVİZ) FON,30.04.2026,"37,260251"
FSR,FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"44,836844"
FSU,TERA PORTFÖY FON SEPETİ FONU,30.04.2026,"1,308012"
FSV,QNB PORTFÖY KAR PAYI ÖDEYEN SEKİZİNCİ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"52,832662"
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,30.04.2026,"1,359054"
FTM,FİBA PORTFÖY TEMMUZ 2026 SERBEST (DÖVİZ) FON,30.04.2026,"52,370921"
FTY,QNB PORTFÖY KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,30.04.2026,"45,04876"
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"5,412446"
FUB,QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,701166"
FUM,AK PORTFÖY ALESTA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"58,625324"
FUN,FİBA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"1,474969"
FUP,QNB PORTFÖY BAYSAN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"102,355704"
FVL,FİBA PORTFÖY BİRİNCİ SERBEST (TL) FON,30.04.2026,"4,386133"
FYA,İSTANBUL PORTFÖY ARK II SERBEST FON,30.04.2026,"0,053955"
FYB,AZİMUT PORTFÖY EB SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"93,278135"
FYD,QNB PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"11,683194"
FYF,STRATEJİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN),30.04.2026,"0,10037"
FYG,AZİMUT PORTFÖY ÖPY SERBEST ( DÖVİZ ) ÖZEL FON,30.04.2026,"15,569387"
FYH,AZİMUT PYŞ SERBEST ( DÖVİZ ) FON,30.04.2026,"81,686537"
FYI,AZİMUT PORTFÖY 4.0 SERBEST FON,30.04.2026,"8,867139"
FYM,AZİMUT PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"0,409909"
FYO,QNB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,30.04.2026,"1,053972"
FYT,QNB PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,326459"
FYZ,AZİMUT PORTFÖY AS SERBEST ÖZEL FON,30.04.2026,"6,140238"
FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"5,217501"
FZP,FİBA PORTFÖY SERBEST FON,30.04.2026,"6,035362"
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,30.04.2026,"1,797479"
GAC,GARANTİ PORTFÖY YİRMİBİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"70,991338"
GAE,GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,458367"
GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,712479"
GAG,INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON,30.04.2026,"16,810104"
GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,30.04.2026,"11,556561"
GAJ,GARANTİ PORTFÖY YİRMİÜÇÜNCÜ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"58,982557"
GAL,GARANTİ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"364,754419"
GAN,INVEO PORTFÖY ALFON SERBEST FON,30.04.2026,"8,953966"
GAS,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,30.04.2026,"0,296129"
GAU,GARANTİ PORTFÖY YİRMİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,338749"
GAV,GARANTİ PORTFÖY YİRMİİKİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"57,200965"
GBC,AZİMUT PORTFÖY YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,277125"
GBG,INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,50909"
GBH,GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"4,140814"
GBJ,GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,495771"
GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,77234"
GBN,GARANTİ PORTFÖY BEŞİNCİ (TL) SERBEST FON,30.04.2026,"6,10416"
GBP,GARANTİ PORTFÖY YİRMİALTINCI SERBEST (DÖVİZ-AVRO) ÖZEL FON,30.04.2026,"66,060959"
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"11,400281"
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,30.04.2026,"3,392229"
GCA,GARANTİ PORTFÖY HM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"66,945606"
GCC,GARANTİ PORTFÖY YİRMİSEKİZİNCİ SERBEST ÖZEL FON,30.04.2026,"5,24984"
GCD,ATLAS PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,082611"
GCI,GARANTİ PORTFÖY KARŞIYAKA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"60,009253"
GCZ,GARANTİ PORTFÖY ZM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"57,629895"
GDJ,GARANTİ PORTFÖY DÖRTLÜ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"57,14076"
GDP,GARANTİ PORTFÖY DOKUZUNCU SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,950116"
GEC,GARANTİ PORTFÖY SOYKAN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"70,997631"
GEI,INVEO PORTFÖY EVEREST SERBEST FON,30.04.2026,"92,2874"
GEZ,GARANTİ PORTFÖY ERN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,417562"
GFB,GARANTİ PORTFÖY MISIRLI SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"65,143327"
GFD,GARANTİ PORTFÖY BAL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"64,571156"
GFI,GARANTİ PORTFÖY YKT SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"49,821531"
GFL,GARANTİ PORTFÖY MİA SERBEST ÖZEL FON,30.04.2026,"10,565046"
GFN,GARANTİ PORTFÖY DAPEİ SERBEST  (DÖVİZ) ÖZEL FON,30.04.2026,"73,05113"
GFY,GARANTİ PORTFÖY OL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"64,186686"
GGA,GARANTİ PORTFÖY YEDİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,508984"
GGC,AK PORTFÖY KIYI HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"5,221685"
GGD,GARANTİ PORTFÖY SEKİZİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,225099"
GGK,INVEO PORTFÖY ALTIN FON,30.04.2026,"13,692298"
GGM,GARANTİ PORTFÖY GMS SERBEST ÖZEL FON,30.04.2026,"7,502701"
GGN,GARANTİ PORTFÖY AYDOĞAN SERBEST(DÖVİZ) ÖZEL FON,30.04.2026,"63,941317"
GGP,GARANTİ PORTFÖY ALTINCI SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"26,307588"
GGR,GARANTİ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"63,253107"
GHS,GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"39,290178"
GID,GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ DEĞİŞKEN FON,30.04.2026,"1,64832"
GIE,GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,631551"
GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,441696"
GJA,GARANTİ PORTFÖY ONYEDİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,287693"
GJB,INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"10,068768"
GJD,GARANTİ PORTFÖY ORTAS SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,159324"
GJE,GARANTİ PORTFÖY ECZ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"58,646621"
GJF,GARANTİ PORTFÖY BEREKET SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,407932"
GJH,GARANTİ PORTFÖY PARA PİYASASI SERBEST (TL) FON,30.04.2026,"3,489886"
GJM,GLOBAL MD PORTFÖY ADA SERBEST FON,30.04.2026,"37,526109"
GJO,GARANTİ PORTFÖY ONALTINCI SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"55,608412"
GKE,GARANTİ PORTFÖY KAR PAYI ÖDEYEN EKİM 2025 SERBEST (DÖVİZ) FON,30.04.2026,"0,00"
GKF,GLOBAL MD PORTFÖY KATILIM FONU,30.04.2026,"4,78422"
GKG,GARANTİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,379523"
GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,30.04.2026,"3,98346"
GKK,GARANTİ PORTFÖY ONDÖRDÜNCÜ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"60,83974"
GKL,GARANTİ PORTFÖY YF HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"14,986866"
GKM,GARANTİ PORTFÖY KAR PAYI ÖDEYEN EKİM 2026 SERBEST (DÖVİZ) FON,30.04.2026,"45,388213"
GKO,GARANTİ PORTFÖY KAR PAYI ÖDEYEN OCAK 2026 SERBEST (DÖVİZ) FON,30.04.2026,"0,00"
GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,7589"
GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1421,164997"
GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,30.04.2026,"4,208287"
GLG,AKTİF PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"8,416546"
GLM,ATLAS PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,30.04.2026,"0,518018"
GLP,GARANTİ PORTFÖY PRUVA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"63,081953"
GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,30.04.2026,"0,152307"
GLV,GLOBAL MD PORTFÖY NEHİR SERBEST FON,30.04.2026,"8,307647"
GMA,AZİMUT PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"1,933982"
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,30.04.2026,"8,339815"
GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"2,557397"
GME,İŞ PORTFÖY EGE SERBEST ÖZEL FON,30.04.2026,"26,475505"
GMI,AK PORTFÖY GÜMÜŞ SERBEST FON,30.04.2026,"1,490765"
GMM,GARANTİ PORTFÖY KAR PAYI ÖDEYEN MART 2027 SERBEST (DÖVİZ) FON,30.04.2026,"45,11849"
GMN,GLOBAL MD PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,30.04.2026,"1,21182"
GMO,AZİMUT PORTFÖY G MOBİLİTE HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,862755"
GMP,GARANTİ PORTFÖY GM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"57,596304"
GMR,INVEO PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,363123"
GMV,GARANTİ PORTFÖY OCAK 2026 SERBEST (DÖVİZ-ABD DOLARI) FON,30.04.2026,"0,00"
GMZ,İŞ PORTFÖY MZ SERBEST ÖZEL FON,30.04.2026,"12,847824"
GNH,GLOBAL MD PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,482692"
GNK,AZİMUT PORTFÖY SARPAY SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"64,500216"
GNL,GARANTİ PORTFÖY UNL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,423152"
GNP,GARANTİ PORTFÖY NEMA PARA PİYASASI (TL) FONU,30.04.2026,"1,31064"
GNS,GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,547385"
GNZ,AK PORTFÖY ING Z KUŞAĞI FON SEPETİ ÖZEL FONU,30.04.2026,"1,429295"
GO1,ONE PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"4,271034"
GO2,ONE PORTFÖY KATILIM FON SEPETİ FONU,30.04.2026,"4,588672"
GO3,ONE PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,30.04.2026,"4,615582"
GO4,ONE PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,30.04.2026,"4,98107"
GO6,ONE PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"3,74178"
GO9,ONE PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,476026"
GOF,GARANTİ PORTFÖY OTUZİKİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"47,695423"
GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"15,859584"
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,30.04.2026,"2,768545"
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,30.04.2026,"1,074288"
GP1,AZİMUT PORTFÖY AEB SERBEST (TL) ÖZEL FON,30.04.2026,"3,815522"
GP3,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"56,687261"
GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,30.04.2026,"21,458661"
GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"11,137272"
GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,30.04.2026,"66,841314"
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"8,291012"
GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"14,428012"
GPH,GARANTİ PORTFÖY ONSEKİZİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"43,342412"
GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"16,886011"
GPJ,GARANTİ PORTFÖY PORTAKAL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"53,892246"
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"49,498035"
GPM,GARANTİ PORTFÖY MİB SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"57,818975"
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,30.04.2026,"1,232635"
GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"2,451867"
GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,30.04.2026,"19,594335"
GPV,YAPI KREDİ PORTFÖY URLA SERBEST (DÖVİZ-AVRO) ÖZEL FON,30.04.2026,"62,831056"
GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,30.04.2026,"1,741753"
GRL,QNB PORTFÖY AGRESİF SERBEST FON,30.04.2026,"1,7325"
GRO,GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON,30.04.2026,"50,40209"
GRT,GARANTİ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,587221"
GSE,AZİMUT PORTFÖY 7.0 SERBEST (DÖVİZ) FON,30.04.2026,"60,112276"
GSG,AZİMUT PORTFÖY GÜREL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"66,425457"
GSL,AZİMUT PORTFÖY GIPTA SERBEST ÖZEL FON,30.04.2026,"3,05331"
GSO,GARANTİ PORTFÖY ÖPY SERBEST ÖZEL FON,30.04.2026,"13,53932"
GSP,AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,543136"
GSR,GARANTİ PORTFÖY EGL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"52,988265"
GSU,GARANTİ PORTFÖY KAR PAYI ÖDEYEN ŞUBAT 2026 SERBEST (DÖVİZ) FON,30.04.2026,"0,00"
GTA,GARANTİ PORTFÖY ALTIN FONU,30.04.2026,"1,574077"
GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,30.04.2026,"13,559779"
GTH,GARANTİ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,311705"
GTK,GARANTİ PORTFÖY KAMU BORÇLANMA ARAÇLARI ÖZEL FONU,30.04.2026,"6,342655"
GTL,GARANTİ PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"0,119612"
GTM,GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,822358"
GTN,GARANTİ PORTFÖY GTH SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"48,703993"
GTY,GARANTİ PORTFÖY TREND SERBEST FON,30.04.2026,"5,753228"
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,30.04.2026,"12,434631"
GUA,GARANTİ PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI ÖZEL FON,30.04.2026,"5,450843"
GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,30.04.2026,"2,28044"
GUC,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI SERBEST (TL) ÖZEL FON,30.04.2026,"1,296818"
GUH,GARANTİ PORTFÖY YABANCI TEKNOLOJİ HİSSE SENEDİ FONU,30.04.2026,"0,367814"
GUK,GARANTİ PORTFÖY GÜMÜŞ KATILIM SERBEST FON,30.04.2026,"1,503362"
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,30.04.2026,"13,257897"
GUV,GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,30.04.2026,"1,584154"
GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,30.04.2026,"4,127776"
GVB,GARANTİ PORTFÖY ACE SERBEST (DÖVİZ-ABD DOLARI) ÖZEL FON,30.04.2026,"63,099366"
GVC,GARANTİ PORTFÖY ERG SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,939606"
GVD,GARANTİ PORTFÖY KARABAĞLI SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"19,893807"
GVI,GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,30.04.2026,"5,411883"
GVL,GARANTİ  PORTFÖY ZYT SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,006447"
GVZ,GARANTİ PORTFÖY ACE SERBEST (DÖVİZ-AVRO) ÖZEL FON,30.04.2026,"68,275957"
GYC,GARANTİ PORTFÖY YİRMİBEŞİNCİ SERBEST ÖZEL FON,30.04.2026,"3,686757"
GYG,GARANTİ PORTFÖY TEKOS SERBEST (DÖVİZ-AVRO) ÖZEL FON,30.04.2026,"66,502177"
GYK,INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,10214"
GYL,INVEO PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"12,963321"
GYN,GARANTİ PORTFÖY HCR SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,850384"
GYR,GARANTİ PORTFÖY TEKOS SERBEST (DÖVİZ-ABD DOLARI) ÖZEL FON,30.04.2026,"58,693193"
GZB,GARANTİ PORTFÖY ÖPY İKİNCİ SERBEST ÖZEL FON,30.04.2026,"6,631013"
GZD,GARANTİ PORTFÖY ONÜCÜNCÜ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"57,634804"
GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,30.04.2026,"7,313628"
GZG,GARANTİ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,30.04.2026,"5,703878"
GZH,GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,30.04.2026,"5,088264"
GZJ,GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU,30.04.2026,"8,183716"
GZL,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON,30.04.2026,"5,210828"
GZM,GLOBAL MD PORTFÖY DURU SERBEST FON,30.04.2026,"8,299926"
GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,30.04.2026,"44,202498"
