Dışa Aktarım Tarihi:,04.05.2026 11:10:45
Toplam Kayıt Sayısı:,1997

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"18,977524",65199361.00,10345,"1237322410,06"
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,04.05.2026,"0,124959",13145655141.00,13152,"1642663275,34"
AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,04.05.2026,"0,164742",3325162435.00,4,"547793609,36"
AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,04.05.2026,"18,244559",36264006.00,40,"661620810,92"
AZV,AZİMUT PORTFÖY BKS SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"24,972642",168246809.00,4,"4201567290,18"
AZZ,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"59,114989",457507251.00,7,"27045536326,15"
BA1,GLOBAL MD PORTFÖY BİRİNCİ SERBEST FON,04.05.2026,"1,416724",200636839.00,25,"284246937,63"
BAC,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"6,475411",754698421.00,11,"4886982818,20"
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,04.05.2026,"0,9149",61129120.00,71,"55927040,19"
BAL,QNB PORTFÖY BALY SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"46,497397",21974290.00,1,"1021747277,41"
BAO,AZİMUT PORTFÖY BARKIN SERBEST (TL) ÖZEL FON,04.05.2026,"3,248553",46020385.00,4,"149499654,18"
BAS,İŞ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"50,102609",28610784.00,1,"1433474936,70"
BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,04.05.2026,"3,208166",55002473.00,1102,"176457040,19"
BBI,ALLBATROSS PORTFÖY BİANCO SERBEST (TL) FON,04.05.2026,"1,593885",679926.00,11,"1083724,00"
